Date,country_region,retail_recreation_change,grocery_pharmacy_change,parks_change,transit_change,workplaces_change,residential_change,mobility_drop_retail,mobility_drop_transit,mobility_drop_workplace,residential_increase,grocery_spike,severe_lockdown_behavior,partial_restrictions,num_posts,avg_compound,neg_fraction,pos_fraction,high_negative_sentiment,high_positive_sentiment,sentiment_shift_detected,sentiment_improved,sentiment_worsened,sentiment_volatility,fear_keywords_present,anger_mentioned,sadness_keywords_present,anxiety_keywords_present,dominant_emotion_fear,dominant_emotion,mixed_emotions,covid_topic_detected,lockdown_mentioned,vaccine_mentioned,health_concern,compliance_discussed,policy_governance_discussion,solidarity_messages,weekend,emotion_with_mobility_signal,emotion_mobility_mismatch,calm_mobile_baseline,dominant_emotion_fear_lag1,dominant_emotion_fear_lag3,dominant_emotion_fear_lag7,high_negative_sentiment_lag1,high_negative_sentiment_lag3,high_negative_sentiment_lag7,high_positive_sentiment_lag1,high_positive_sentiment_lag3,high_positive_sentiment_lag7,solidarity_messages_lag1,solidarity_messages_lag3,solidarity_messages_lag7,compliance_discussed_lag1,compliance_discussed_lag3,compliance_discussed_lag7,health_concern_lag1,health_concern_lag3,health_concern_lag7,sentiment_shift_detected_lag1,sentiment_shift_detected_lag3,sentiment_shift_detected_lag7,sentiment_worsened_lag1,sentiment_worsened_lag3,sentiment_worsened_lag7,sentiment_improved_lag1,sentiment_improved_lag3,sentiment_improved_lag7,lockdown_mentioned_lag1,lockdown_mentioned_lag3,lockdown_mentioned_lag7,vaccine_mentioned_lag1,vaccine_mentioned_lag3,vaccine_mentioned_lag7,policy_governance_discussion_lag1,policy_governance_discussion_lag3,policy_governance_discussion_lag7,fear_keywords_present_lag1,fear_keywords_present_lag3,fear_keywords_present_lag7,anxiety_keywords_present_lag1,anxiety_keywords_present_lag3,anxiety_keywords_present_lag7,grocery_spike_lead2,grocery_spike_lead7,mobility_drop_retail_lead2,mobility_drop_retail_lead7,mobility_drop_transit_lead2,mobility_drop_transit_lead7,mobility_drop_workplace_lead2,mobility_drop_workplace_lead7,residential_increase_lead2,residential_increase_lead7,severe_lockdown_behavior_lead2,severe_lockdown_behavior_lead7,partial_restrictions_lead2,partial_restrictions_lead7,sentiment_shift_detected_lead2,sentiment_shift_detected_lead7,sentiment_worsened_lead2,sentiment_worsened_lead7,sentiment_improved_lead2,sentiment_improved_lead7,high_negative_sentiment_lead2,high_negative_sentiment_lead7,high_positive_sentiment_lead2,high_positive_sentiment_lead7,solidarity_messages_lead2,solidarity_messages_lead7,compliance_discussed_lead2,compliance_discussed_lead7,vaccine_mentioned_lead2,vaccine_mentioned_lead7,health_concern_lead2,health_concern_lead7
2020-03-08,United Arab Emirates,1.0,8.0,6.0,-9.0,-1.0,3.0,0,0,0,0,0,0,0,10.0,0.09435,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.3299196606751407,0.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-03-09,United Arab Emirates,-3.0,4.0,4.0,-10.0,-1.0,4.0,0,0,0,0,0,0,0,7.0,-0.0693714285714285,0.1428571428571428,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.3923358827560376,0.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1
2020-03-10,United Arab Emirates,-4.0,6.0,3.0,-11.0,-2.0,4.0,0,0,0,0,0,0,0,3.0,0.1858,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.262760879888921,0.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-11,United Arab Emirates,-4.0,5.0,0.0,-12.0,-2.0,4.0,0,0,0,0,0,0,0,4.0,0.27615,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.5265494967237173,0.0,0.0,0.0,1.0,0.0,anxiety,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-03-12,United Arab Emirates,-8.0,6.0,-6.0,-15.0,-3.0,5.0,0,0,0,0,0,0,0,5.0,0.27174,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.5375711807751603,1.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1
2020-03-13,United Arab Emirates,-16.0,3.0,-15.0,-20.0,-2.0,5.0,0,0,0,0,0,0,0,5.0,0.15682,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.6591535432659071,1.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1
2020-03-14,United Arab Emirates,-12.0,4.0,-12.0,-17.0,2.0,4.0,0,0,0,0,0,0,0,10.0,-0.0059199999999999,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.3534049682729432,0.0,0.0,0.0,1.0,0.0,anxiety,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1
2020-03-15,United Arab Emirates,-6.0,11.0,-11.0,-15.0,-4.0,5.0,0,0,0,0,1,0,0,9.0,0.0350444444444444,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.323594582124372,0.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-03-16,United Arab Emirates,-11.0,8.0,-14.0,-17.0,-6.0,6.0,0,0,0,0,0,0,0,6.0,-0.2145833333333333,0.3333333333333333,0.1666666666666666,0.0,0.0,1.0,0.0,1.0,0.66976137894195,1.0,0.0,0.0,1.0,0.0,anxiety,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2020-03-17,United Arab Emirates,-16.0,5.0,-18.0,-22.0,-9.0,7.0,0,0,0,0,0,0,0,6.0,0.0493333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1103126868899896,0.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1
