Date,country_region,retail_recreation_change,grocery_pharmacy_change,parks_change,transit_change,workplaces_change,residential_change
2020-03-01,United Arab Emirates,3.0,10.0,2.0,-1.0,4.0,1.0
2020-03-02,United Arab Emirates,0.0,7.0,1.0,-2.0,4.0,1.0
2020-03-03,United Arab Emirates,0.0,6.0,0.0,-5.0,4.0,1.0
2020-03-04,United Arab Emirates,-1.0,7.0,-2.0,-5.0,3.0,2.0
2020-03-05,United Arab Emirates,-3.0,6.0,-2.0,-5.0,3.0,2.0
2020-03-06,United Arab Emirates,-7.0,5.0,-8.0,-9.0,0.0,3.0
2020-03-07,United Arab Emirates,-3.0,6.0,1.0,-8.0,4.0,2.0
2020-03-08,United Arab Emirates,1.0,8.0,6.0,-9.0,-1.0,3.0
2020-03-09,United Arab Emirates,-3.0,4.0,4.0,-10.0,-1.0,4.0
2020-03-10,United Arab Emirates,-4.0,6.0,3.0,-11.0,-2.0,4.0
2020-03-11,United Arab Emirates,-4.0,5.0,0.0,-12.0,-2.0,4.0
2020-03-12,United Arab Emirates,-8.0,6.0,-6.0,-15.0,-3.0,5.0
2020-03-13,United Arab Emirates,-16.0,3.0,-15.0,-20.0,-2.0,5.0
2020-03-14,United Arab Emirates,-12.0,4.0,-12.0,-17.0,2.0,4.0
2020-03-15,United Arab Emirates,-6.0,11.0,-11.0,-15.0,-4.0,5.0
2020-03-16,United Arab Emirates,-11.0,8.0,-14.0,-17.0,-6.0,6.0
2020-03-17,United Arab Emirates,-16.0,5.0,-18.0,-22.0,-9.0,7.0
2020-03-18,United Arab Emirates,-19.0,2.0,-19.0,-25.0,-11.0,9.0
2020-03-19,United Arab Emirates,-24.0,-1.0,-26.0,-31.0,-12.0,11.0
2020-03-20,United Arab Emirates,-37.0,-11.0,-45.0,-44.0,-12.0,11.0
2020-03-21,United Arab Emirates,-32.0,-12.0,-37.0,-42.0,-8.0,10.0
2020-03-22,United Arab Emirates,-30.0,-13.0,-36.0,-45.0,-17.0,13.0
2020-03-23,United Arab Emirates,-27.0,14.0,-38.0,-46.0,-20.0,14.0
2020-03-24,United Arab Emirates,-39.0,-6.0,-43.0,-53.0,-28.0,17.0
2020-03-25,United Arab Emirates,-50.0,-18.0,-47.0,-60.0,-35.0,21.0
2020-03-26,United Arab Emirates,-55.0,-13.0,-54.0,-67.0,-40.0,25.0
2020-03-27,United Arab Emirates,-80.0,-60.0,-80.0,-84.0,-52.0,25.0
