premise,conclusion,support,support_pct,confidence,lift,leverage,cross_domain,conviction,obviousness_penalty
"sentiment_shift_detected, high_positive_sentiment_lag1",sentiment_worsened,159,24.200913242009133,86.16352201257862,2.9952081461515427,0.1389045265945247,False,5.180802059341554,0.2
"sentiment_shift_detected, sentiment_improved_lag1",sentiment_worsened,129,19.63470319634703,80.62015503875969,2.8025101513473607,0.10181188882633807,False,3.698897168405365,0.2
"sentiment_shift_detected, sentiment_worsened_lag1",sentiment_improved,114,17.35159817351598,78.0701754385965,2.590510366826156,0.08317174370842977,False,3.1872429210134126,0.2
"compliance_discussed, lockdown_mentioned_lag7",lockdown_mentioned,96,14.61187214611872,80.20833333333334,2.497482227488152,0.07027237408171917,False,3.441211075378464,0.2
"grocery_spike, sentiment_improved_lag1",grocery_spike_lead7,79,12.02435312024353,100.0,2.2972027972027975,0.06790007621933561,False,inf,0.2
"grocery_spike, high_positive_sentiment",grocery_spike_lead7,100,15.220700152207002,100.0,2.2972027972027975,0.08594946356877926,True,inf,0.0
grocery_spike,grocery_spike_lead7,279,42.465753424657535,94.98207885304659,2.181930972253553,0.21849002314380433,False,9.964285714285708,0.2
grocery_spike,grocery_spike_lead2,279,42.465753424657535,92.47311827956989,2.162093904258983,0.21106732553533078,False,6.642857142857139,0.2
"grocery_spike, policy_governance_discussion_lag7",calm_mobile_baseline,72,10.95890410958904,83.33333333333334,2.155511811023622,0.04895644377723567,False,3.621460506706412,0.2
"grocery_spike, sentiment_worsened_lag3",calm_mobile_baseline,81,12.32876712328767,82.71604938271605,2.1395450568678918,0.05431496424177978,False,3.4921226314668945,0.2
"calm_mobile_baseline, sentiment_worsened_lag7",grocery_spike,73,11.11111111111111,90.41095890410958,2.129032258064516,0.0532724505327245,False,5.983606557377039,0.4
"sentiment_improved, compliance_discussed_lag7",high_positive_sentiment,73,11.11111111111111,82.1917808219178,2.1176470588235294,0.04819888381532217,False,3.4562650464289804,0.2
"grocery_spike, high_positive_sentiment_lag1",calm_mobile_baseline,105,15.981735159817351,80.95238095238095,2.09392575928009,0.06758963880375027,False,3.168777943368108,0.2
"calm_mobile_baseline, high_positive_sentiment_lag1",grocery_spike,96,14.61187214611872,88.54166666666666,2.085013440860215,0.06732553533078961,False,5.0074515648286075,0.4
"compliance_discussed_lag3, sentiment_improved_lag7",high_positive_sentiment_lag7,81,12.32876712328767,80.24691358024691,2.0838823012736056,0.05145847667896833,False,2.53125,0.2
"high_positive_sentiment, calm_mobile_baseline",grocery_spike_lead2,98,14.916286149162861,88.77551020408163,2.0756409325295957,0.0686228857242806,False,4.454545454545454,0.2
"sentiment_worsened, solidarity_messages",high_positive_sentiment_lag1,72,10.95890410958904,80.55555555555556,2.0754901960784315,0.045745501553345426,False,2.5714285714285716,0.2
"calm_mobile_baseline, vaccine_mentioned_lag3",grocery_spike,155,23.59208523592085,87.74193548387098,2.066181061394381,0.10681595462980338,False,4.680759275237274,0.4
"compliance_discussed_lag7, sentiment_improved_lag1",high_positive_sentiment_lag1,66,10.045662100456621,78.78787878787878,2.029946524064171,0.040157628072809155,False,2.3571428571428568,0.2
"grocery_spike, policy_governance_discussion_lag3",grocery_spike_lead2,66,10.045662100456621,86.36363636363636,2.0192494338401814,0.04379252587171521,False,3.666666666666667,0.2
"sentiment_improved, high_positive_sentiment_lag7",high_positive_sentiment,81,12.32876712328767,77.77777777777779,2.003921568627451,0.04803903171326703,False,2.769746646795829,0.2
"solidarity_messages_lag3, sentiment_improved_lag7",high_positive_sentiment_lag7,107,16.28614916286149,76.63551401869158,1.9901001071257065,0.06209443320846336,False,2.139999999999999,0.2
"sentiment_shift_detected_lag7, sentiment_improved_lag3",high_positive_sentiment_lag3,115,17.50380517503805,76.52173913043478,1.979322149948648,0.06627143813607815,False,2.1296296296296298,0.2
"sentiment_improved, lockdown_mentioned_lag7",high_positive_sentiment,77,11.71993911719939,76.62337662337663,1.9741787624140568,0.044313782726242854,False,2.6329690346083794,0.2
"sentiment_improved_lag7, lockdown_mentioned_lag3",high_positive_sentiment_lag7,75,11.415525114155251,76.0,1.9735968379446642,0.04279866280241585,False,2.0833333333333335,0.2
"sentiment_shift_detected_lag3, sentiment_improved_lag1",high_positive_sentiment_lag1,129,19.63470319634703,75.96899224806202,1.9573187414500686,0.07295510935968808,False,2.0806451612903225,0.2
"health_concern_lag7, sentiment_improved_lag3",high_positive_sentiment_lag3,118,17.960426179604262,75.42372881355932,1.9509208594688376,0.06602818493729859,False,2.0344827586206895,0.2
"high_positive_sentiment_lag7, sentiment_improved_lag3",high_positive_sentiment_lag3,89,13.54642313546423,75.28089887640449,1.9472264000707777,0.04960743567111241,False,2.0227272727272725,0.2
"vaccine_mentioned_lag1, policy_governance_discussion_lag7",vaccine_mentioned_lag7,76,11.56773211567732,86.8421052631579,1.934076717216771,0.04851627132230122,False,3.8000000000000043,0.2
"policy_governance_discussion, vaccine_mentioned_lag1",vaccine_mentioned,82,12.480974124809741,86.58536585365853,1.908945817646096,0.05145615998183709,False,4.0994445197127725,0.4
"grocery_spike, lockdown_mentioned",vaccine_mentioned_lag7,68,10.350076103500761,85.29411764705883,1.8996011964107677,0.041807116430247725,True,3.4000000000000017,0.0
"lockdown_mentioned, vaccine_mentioned_lag1",vaccine_mentioned,79,12.02435312024353,86.07594936708861,1.8977147226233966,0.04896107717149814,False,3.9494648421623095,0.4
"vaccine_mentioned_lag1, policy_governance_discussion_lag3",vaccine_mentioned_lag3,82,12.480974124809741,85.36585365853658,1.89477587343441,0.05031402829613876,False,3.416666666666666,0.2
"compliance_discussed, calm_mobile_baseline",vaccine_mentioned_lag7,73,11.11111111111111,84.93150684931507,1.8915254237288135,0.04447826822256046,False,3.3181818181818197,0.2
"vaccine_mentioned_lag7, policy_governance_discussion_lag1",vaccine_mentioned_lag1,81,12.32876712328767,85.18518518518519,1.884399551066218,0.049290048164133356,False,3.375,0.2
"vaccine_mentioned_lag3, policy_governance_discussion_lag1",vaccine_mentioned_lag1,86,13.08980213089802,83.72093023255815,1.8520084566596196,0.050415962969913054,False,3.071428571428572,0.2
"vaccine_mentioned_lag7, policy_governance_discussion_lag3",vaccine_mentioned_lag3,78,11.87214611872146,83.33333333333334,1.8496621621621623,0.04544664762341625,False,3.0000000000000027,0.2
"policy_governance_discussion, vaccine_mentioned_lag7",vaccine_mentioned,91,13.850837138508371,83.51648351648352,1.8412862305479756,0.05285312835197116,False,3.3362146050670645,0.4
"lockdown_mentioned_lag3, vaccine_mentioned_lag1",vaccine_mentioned_lag3,81,12.32876712328767,82.71604938271605,1.835960960960961,0.04643356060132191,False,2.8928571428571432,0.2
"lockdown_mentioned, lockdown_mentioned_lag3",residential_increase_lead2,79,12.02435312024353,79.74683544303798,1.8129297884455347,0.04299789875570197,False,2.4687500000000004,0.2
