extent,intent,support
(),"('mobility_drop_retail', 'mobility_drop_transit', 'mobility_drop_workplace', 'residential_increase', 'grocery_spike', 'severe_lockdown_behavior', 'partial_restrictions', 'high_negative_sentiment', 'high_positive_sentiment', 'sentiment_shift_detected', 'sentiment_improved', 'sentiment_worsened', 'fear_keywords_present', 'anger_mentioned', 'sadness_keywords_present', 'anxiety_keywords_present', 'dominant_emotion_fear', 'mixed_emotions', 'covid_topic_detected', 'lockdown_mentioned', 'vaccine_mentioned', 'health_concern', 'compliance_discussed', 'policy_governance_discussion', 'solidarity_messages', 'weekend', 'emotion_with_mobility_signal', 'emotion_mobility_mismatch', 'low_emotion_low_mobility_signal')",0
"('Day_0',)","('high_negative_sentiment', 'dominant_emotion_fear', 'covid_topic_detected', 'lockdown_mentioned', 'vaccine_mentioned', 'health_concern', 'compliance_discussed', 'policy_governance_discussion', 'solidarity_messages', 'weekend', 'emotion_mobility_mismatch')",1
"('Day_3',)","('mobility_drop_transit', 'residential_increase', 'partial_restrictions', 'sentiment_shift_detected', 'dominant_emotion_fear', 'covid_topic_detected', 'health_concern', 'compliance_discussed', 'policy_governance_discussion')",1
"('Day_10',)","('mobility_drop_retail', 'mobility_drop_transit', 'mobility_drop_workplace', 'residential_increase', 'severe_lockdown_behavior', 'sentiment_shift_detected', 'sentiment_improved', 'dominant_emotion_fear', 'covid_topic_detected', 'lockdown_mentioned', 'health_concern', 'policy_governance_discussion', 'solidarity_messages')",1
"('Day_13',)","('mobility_drop_retail', 'mobility_drop_transit', 'mobility_drop_workplace', 'residential_increase', 'severe_lockdown_behavior', 'high_positive_sentiment', 'dominant_emotion_fear', 'covid_topic_detected', 'lockdown_mentioned', 'health_concern', 'compliance_discussed', 'solidarity_messages')",1
"('Day_14',)","('mobility_drop_retail', 'mobility_drop_transit', 'mobility_drop_workplace', 'residential_increase', 'severe_lockdown_behavior', 'high_positive_sentiment', 'sentiment_shift_detected', 'sentiment_improved', 'dominant_emotion_fear', 'covid_topic_detected', 'lockdown_mentioned', 'compliance_discussed', 'solidarity_messages')",1
"('Day_20',)","('mobility_drop_retail', 'mobility_drop_transit', 'residential_increase', 'partial_restrictions', 'dominant_emotion_fear', 'covid_topic_detected', 'health_concern', 'compliance_discussed', 'solidarity_messages')",1
"('Day_21',)","('mobility_drop_retail', 'mobility_drop_transit', 'residential_increase', 'partial_restrictions', 'high_positive_sentiment', 'sentiment_shift_detected', 'sentiment_worsened', 'dominant_emotion_fear', 'covid_topic_detected')",1
"('Day_22',)","('mobility_drop_transit', 'residential_increase', 'partial_restrictions', 'high_positive_sentiment', 'sentiment_shift_detected', 'dominant_emotion_fear', 'covid_topic_detected', 'solidarity_messages', 'emotion_with_mobility_signal')",1
"('Day_28',)","('mobility_drop_transit', 'residential_increase', 'partial_restrictions', 'high_positive_sentiment', 'dominant_emotion_fear', 'covid_topic_detected', 'health_concern', 'compliance_discussed', 'solidarity_messages')",1
